id,name,age,email,phone_number,address,photo_profile,user_lat,user_lot,createdAt,updatedAt
1,user1,20,userTrial1@gmail.com,81326812647,"Semarang, Jawa Tengah",user1.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
2,user2,21,userTrial2@gmail.com,81326812647,"Bekasi, Jawa Barat",user2.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
3,user3,23,userTrial3@gmail.com,81326812647,"Cirebon, Jawa Barat",user3.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
4,user4,21,userTrial4@gmail.com,81326812647,"Bekasi, Jawa Barat",user4.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
5,user5,20,userTrial5@gmail.com,81326812647,"Lampung, Sumatera Selatan",user5.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
6,user6,18,userTrial6@gmail.com,81326812647,"Jakarta Utara, DKI Jakarta",user6.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
7,user7,39,userTrial7@gmail.com,81326812647,"Jakarta Selatan, DKI Jakarta",user7.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
8,user8,40,userTrial8@gmail.com,81326812647,"Bandung, Jawa Barat",user8.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
9,user9,38,userTrial9@gmail.com,81326812647,"Surabaya, Jawa Timur",user9.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
10,user10,39,userTrial10@gmail.com,81326812647,"Bekasi, Jawa Barat",user10.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
11,user11,20,userTrial11@gmail.com,81326812647,"Yogyakarta, DIY",user11.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
12,user12,37,userTrial12@gmail.com,81326812647,"Bogor, Jawa Barat",user12.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
13,user13,18,userTrial13@gmail.com,81326812647,"Depok, Jawa Barat",user13.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
14,user14,26,userTrial14@gmail.com,81326812647,"Jakarta Pusat, DKI Jakarta",user14.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
15,user15,34,userTrial15@gmail.com,81326812647,"Jakarta Timur, DKI Jakarta",user15.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
16,user16,40,userTrial16@gmail.com,81326812647,"Bekasi, Jawa Barat",user16.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
17,user17,31,userTrial17@gmail.com,81326812647,"Semarang, Jawa Tengah",user17.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
18,user18,39,userTrial18@gmail.com,81326812647,"Yogyakarta, DIY",user18.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
19,user19,26,userTrial19@gmail.com,81326812647,"Cirebon, Jawa Barat",user19.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
20,user20,30,userTrial20@gmail.com,81326812647,"Lampung, Sumatera Selatan",user20.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
21,user21,30,userTrial21@gmail.com,81326812647,"Semarang, Jawa Tengah",user21.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
22,user22,25,userTrial22@gmail.com,81326812647,"Subang, Jawa Barat",user22.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
23,user23,37,userTrial23@gmail.com,81326812647,"Jakarta Barat, DKI Jakarta",user23.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
24,user24,36,userTrial24@gmail.com,81326812647,"Bekasi, Jawa Barat",user24.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
25,user25,40,userTrial25@gmail.com,81326812647,"Lampung, Sumatera Selatan",user25.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
26,user26,38,userTrial26@gmail.com,81326812647,"Palembang, Sumatera Selatan",user26.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
27,user27,22,userTrial27@gmail.com,81326812647,"Bogor, Jawa Barat",user27.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
28,user28,38,userTrial28@gmail.com,81326812647,"Sragen, Jawa Tengah",user28.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
29,user29,34,userTrial29@gmail.com,81326812647,"Ponorogo, Jawa Timur",user29.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
30,user30,30,userTrial30@gmail.com,81326812647,"Depok, Jawa Barat",user30.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
31,user31,26,userTrial31@gmail.com,81326812647,"Jakarta Selatan, DKI Jakarta",user31.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
32,user32,34,userTrial32@gmail.com,81326812647,"Bekasi, Jawa Barat",user32.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
33,user33,24,userTrial33@gmail.com,81326812647,"Ponorogo, Jawa Timur",user33.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
34,user34,31,userTrial34@gmail.com,81326812647,"Sragen, Jawa Tengah",user34.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
35,user35,24,userTrial35@gmail.com,81326812647,"Klaten, Jawa Tengah",user35.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
36,user36,20,userTrial36@gmail.com,81326812647,"Solo, Jawa Tengah",user36.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
37,user37,21,userTrial37@gmail.com,81326812647,"Tanggerang, Banten",user37.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
38,user38,26,userTrial38@gmail.com,81326812647,"Serang, Banten",user38.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
39,user39,32,userTrial39@gmail.com,81326812647,"Cilacap, Jawa Tengah",user39.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
40,user40,27,userTrial40@gmail.com,81326812647,"Semarang, Jawa Tengah",user40.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
41,user41,24,userTrial41@gmail.com,81326812647,"Yogyakarta, DIY",user41.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
42,user42,37,userTrial42@gmail.com,81326812647,"Kota Gede, DIY",user42.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
43,user43,33,userTrial43@gmail.com,81326812647,"Cirebon, Jawa Barat",user43.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
44,user44,21,userTrial44@gmail.com,81326812647,"Subang, Jawa Barat",user44.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
45,user45,25,userTrial45@gmail.com,81326812647,"Karawang, Jawa Barat",user45.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
46,user46,38,userTrial46@gmail.com,81326812647,"Purwakarat, Jawa Barat",user46.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
47,user47,31,userTrial47@gmail.com,81326812647,"Jakarta Utara, DKI Jakarta",user47.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
48,user48,35,userTrial48@gmail.com,81326812647,"Jakarta Selatan, DKI Jakarta",user48.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
49,user49,24,userTrial49@gmail.com,81326812647,"Jakarta Pusat, DKI Jakarta",user49.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
50,user50,19,userTrial50@gmail.com,81326812647,"Bekasi, Jawa Barat",user50.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
51,user51,29,userTrial51@gmail.com,81326812647,"Bogor, Jawa Barat",user51.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
52,user52,18,userTrial52@gmail.com,81326812647,"Karawang, Jawa Barat",user52.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
53,user53,28,userTrial53@gmail.com,81326812647,"Subang, Jawa Barat",user53.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
54,user54,31,userTrial54@gmail.com,81326812647,"Serang, Banten",user54.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
55,user55,19,userTrial55@gmail.com,81326812647,"Tanggerang, Banten",user55.png,-11931,12311,08/06/2023 19:54,08/06/2023 19:54
